No.,ms,TR,rtr,cobid,len,data
739,4.044,R,0,185,08,C0 00 EA 61 32 00 0F 01 
740,0.393,R,0,281,08,30 00 00 00 00 00 CA 01 
741,0.246,R,0,187,08,C0 00 52 61 3A 00 07 01 
742,0.242,R,0,184,08,C0 00 BD 61 41 00 00 01 
743,3.266,R,0,702,01,05 
744,1.999,R,0,283,08,D0 FF 00 00 FD FF 01 00 
745,4.086,R,0,282,08,D4 FF 00 00 00 00 CB 01 
746,0.876,R,0,285,08,CE FF 00 00 F4 FF 01 00 
747,0.901,R,0,286,08,30 00 00 00 00 00 01 00 
748,8.462,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
749,5.060,R,0,287,08,2F 00 00 00 00 00 C8 01 
750,2.210,R,0,188,08,C0 00 7E 5D 36 00 12 01 
751,0.394,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
752,2.310,R,0,701,01,05 
753,8.560,R,0,284,08,32 00 00 00 00 00 01 00 
754,3.792,R,0,288,08,D7 FF 00 00 00 00 C8 01 
755,1.362,R,0,182,08,C0 00 4C 62 30 00 11 01 
756,1.768,R,0,186,08,C0 00 F0 5D 32 00 06 01 
757,4.595,R,0,281,08,30 00 00 00 00 00 CA 01 
758,0.246,R,0,187,08,C0 00 51 61 3A 00 07 01 
759,0.242,R,0,184,08,C0 00 BD 61 42 00 00 01 
760,0.240,R,0,185,08,C0 00 EA 61 32 00 0F 01 
761,2.867,R,0,282,08,D4 FF 00 00 00 00 CB 01 
762,2.124,R,0,283,08,D0 FF 00 00 FD FF 01 00 
763,4.864,R,0,285,08,CE FF 00 00 F4 FF 01 00 
764,0.751,R,0,286,08,30 00 00 00 00 00 01 00 
765,8.648,R,0,181,08,C0 00 8C 5D 30 00 0C 01 
766,5.096,R,0,287,08,2F 00 00 00 00 00 C8 01 
767,2.068,R,0,188,08,C0 00 80 5D 36 00 12 01 
768,0.555,R,0,183,08,C0 00 1A 5E 30 00 0F 01 
769,1.260,R,0,70D,01,05 
770,6.729,R,0,703,01,05 
771,2.900,R,0,284,08,32 00 00 00 00 00 01 00 
772,3.614,R,0,288,08,D7 FF 00 00 00 00 C8 01 
773,1.274,R,0,182,08,C0 00 48 62 30 00 11 01 
774,1.778,R,0,186,08,C0 00 F7 5D 30 00 06 01 
775,4.771,R,0,281,08,30 00 00 00 00 00 CA 01 
776,0.246,R,0,187,08,C0 00 52 61 3A 00 07 01 
777,0.320,R,0,184,08,C0 00 BD 61 41 00 00 01 
778,0.242,R,0,185,08,C0 00 EB 61 32 00 0F 01 
779,2.603,R,0,282,08,D4 FF 00 00 00 00 CB 01 
780,2.374,R,0,283,08,D0 FF 00 00 FD FF 01 00 
781,4.776,R,0,285,08,CE FF 00 00 F4 FF 01 00 
782,0.605,R,0,286,08,30 00 00 00 00 00 01 00 
783,9.784,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
784,4.183,R,0,287,08,2F 00 00 00 00 00 C8 01 
785,1.926,R,0,188,08,C0 00 81 5D 36 00 12 01 
786,0.710,R,0,183,08,C0 00 19 5E 32 00 0F 01 
787,10.781,R,0,284,08,32 00 00 00 00 00 01 00 
788,3.444,R,0,288,08,D7 FF 00 00 00 00 C8 01 
789,1.178,R,0,182,08,C0 00 48 62 30 00 11 01 
790,1.786,R,0,186,08,C0 00 F3 5D 30 00 06 01 
791,4.928,R,0,281,08,30 00 00 00 00 00 CA 01 
792,0.246,R,0,187,08,C0 00 52 61 3A 00 07 01 
793,0.330,R,0,185,08,C0 00 EB 61 32 00 0F 01 
794,0.242,R,0,184,08,C0 00 C0 61 42 00 00 01 
795,2.422,R,0,282,08,D4 FF 00 00 00 00 CB 01 
796,2.622,R,0,283,08,D0 FF 00 00 FD FF 01 00 
797,4.692,R,0,285,08,CE FF 00 00 F4 FF 01 00 
798,0.449,R,0,286,08,30 00 00 00 00 00 01 00 
799,9.950,R,0,181,08,C0 00 8B 5D 30 00 0C 01 
800,4.241,R,0,287,08,2F 00 00 00 00 00 C8 01 
801,1.778,R,0,188,08,C0 00 82 5D 36 00 12 01 
802,0.873,R,0,183,08,C0 00 19 5E 30 00 0F 01 
803,11.797,R,0,284,08,32 00 00 00 00 00 01 00 
804,2.270,R,0,288,08,D7 FF 00 00 00 00 C8 01 
805,1.092,R,0,182,08,C0 00 48 62 32 00 11 01 
806,1.794,R,0,186,08,C0 00 ED 5D 30 00 06 01 
807,5.086,R,0,281,08,30 00 00 00 00 00 CA 01 
808,0.282,R,0,187,08,C0 00 52 61 3A 00 07 01 
809,0.286,R,0,185,08,C0 00 EA 61 32 00 0F 01 
810,0.244,R,0,184,08,C0 00 C1 61 41 00 00 01 
